city_id,name,image,type,description,location,rating,schedule,sponsored,room_types,amenities
1,Sofitel Rabat Jardin des Roses,https://placehold.co/600x400.png,Hotel,"A luxury hotel with beautiful gardens, a spa, and gourmet dining.","34°1'50'N, 6°49'39'W",4.8,,0,"['Deluxe Room', 'Superior Suite', 'Luxury Suite']","['Free WiFi', 'Spa', 'Pool', 'Fitness Center']"
1,Hotel Le Diwan Rabat - MGallery,https://placehold.co/600x400.png,Hotel,"A stylish hotel located in the heart of the city, known for its comfortable rooms and excellent service.","34°1'33'N, 6°49'23'W",4.5,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Restaurant', 'Bar', 'Airport Shuttle']"
1,The View Hotel,https://placehold.co/600x400.png,Hotel,"Offers modern amenities, stunning views, and a rooftop terrace.","34°0'59'N, 6°49'35'W",4.7,,0,"['Standard Room', 'Executive Room', 'Presidential Suite']","['Free WiFi', 'Pool', 'Rooftop Terrace', 'Fitness Center']"
2,Hyatt Regency Casablanca,https://placehold.co/600x400.png,Hotel,"Located in the city center, offering luxurious rooms and extensive facilities.","33°35'33'N, 7°37'9'W",4.6,,0,"['Standard Room', 'Club Room', 'Suite']","['Free WiFi', 'Pool', 'Spa', 'Fitness Center']"
2,Four Seasons Hotel Casablanca,https://placehold.co/600x400.png,Hotel,A beachfront hotel with upscale accommodations and fine dining.,"33°37'3'N, 7°41'27'W",4.9,,0,"['Premier Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Beach Access', 'Spa', 'Pool']"
2,Kenzi Tower Hotel,https://placehold.co/600x400.png,Hotel,"Features panoramic city views, a spa, and an array of dining options.","33°35'34'N, 7°37'2'W",4.5,,0,"['Standard Room', 'Executive Room', 'Suite']","['Free WiFi', 'Spa', 'Pool', 'Restaurant']"
3,El Minzah Hotel,https://placehold.co/600x400.png,Hotel,"A historic hotel blending Moroccan and Andalusian styles, with a spa and fine dining.","35°46'47'N, 5°48'5'W",4.6,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Spa', 'Pool', 'Restaurant']"
3,Hilton Tanger City Center Hotel & Residences,https://placehold.co/600x400.png,Hotel,"Modern hotel with spacious rooms, a rooftop pool, and a central location.","35°46'39'N, 5°48'36'W",4.7,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Rooftop Pool', 'Fitness Center', 'Restaurant']"
3,Movenpick Hotel & Casino Malabata Tanger,https://placehold.co/600x400.png,Hotel,"Offers luxurious accommodations, a casino, and stunning views of the bay.","35°46'48'N, 5°46'58'W",4.5,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Casino', 'Pool', 'Restaurant']"
4,Michlifen Resort & Golf,https://placehold.co/600x400.png,Hotel,"A luxurious mountain resort with a spa, golf course, and beautiful alpine views.","33°31'52'N, 5°6'49'W",4.8,,0,"['Deluxe Room', 'Superior Room', 'Suite']","['Free WiFi', 'Golf Course', 'Spa', 'Pool']"
4,Farah Inn Ifrane,https://placehold.co/600x400.png,Hotel,Family-friendly accommodations with outdoor activities and spacious villas.,"33°32'1'N, 5°7'0'W",4.4,,0,"['Standard Room', 'Family Suite', 'Villa']","['Free WiFi', 'Outdoor Activities', 'Pool', 'Restaurant']"
4,Hotel Relais Ras El Maa,https://placehold.co/600x400.png,Hotel,A charming hotel known for its cozy atmosphere and scenic surroundings.,"33°31'48'N, 5°6'52'W",4.3,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Restaurant', 'Bar', 'Garden']"
5,Palais Faraj Suites & Spa,https://placehold.co/600x400.png,Hotel,"A luxury hotel set in a former palace, offering elegant suites and a spa.","34°3'47'N, 4°58'52'W",4.8,,0,"['Junior Suite', 'Senior Suite', 'Royal Suite']","['Free WiFi', 'Spa', 'Pool', 'Restaurant']"
5,Riad Fes - Relais & Chateaux,https://placehold.co/600x400.png,Hotel,"A historic riad with luxurious rooms, a rooftop terrace, and fine dining.","34°3'56'N, 4°58'42'W",4.9,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Rooftop Terrace', 'Restaurant', 'Spa']"
5,Karawan Riad,https://placehold.co/600x400.png,Hotel,"Offers a blend of traditional and contemporary design, with spacious suites and excellent service.","34°3'55'N, 4°58'36'W",4.7,,0,"['Standard Suite', 'Deluxe Suite', 'Royal Suite']","['Free WiFi', 'Spa', 'Restaurant', 'Library']"
6,Dakhla Attitude,https://placehold.co/600x400.png,Hotel,"A beachfront resort popular for water sports, with comfortable bungalows and a laid-back atmosphere.","23°43'28'N, 15°56'18'W",4.6,,0,"['Standard Bungalow', 'Deluxe Bungalow', 'Suite']","['Free WiFi', 'Water Sports', 'Beach Access', 'Restaurant']"
6,Westpoint Dakhla,https://placehold.co/600x400.png,Hotel,"Offers stylish accommodations and a variety of activities, including kitesurfing and yoga.","23°42'45'N, 15°56'35'W",4.5,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Yoga Classes', 'Kitesurfing', 'Restaurant']"
6,Palais Touareg,https://placehold.co/600x400.png,Hotel,"Known for its unique architecture, comfortable rooms, and beautiful desert views.","23°42'59'N, 15°56'52'W",4.4,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Restaurant', 'Bar', 'Terrace']"
7,Royal Mansour Marrakech,https://placehold.co/600x400.png,Hotel,"A luxury hotel with opulent riads, private pools, and exquisite dining.","31°37'50'N, 7°59'20'W",4.9,,0,"['Superior Riad', 'Deluxe Riad', 'Grand Riad']","['Free WiFi', 'Private Pool', 'Spa', 'Restaurant']"
7,La Mamounia,https://placehold.co/600x400.png,Hotel,"An iconic hotel with lush gardens, a spa, and world-class service.","31°37'59'N, 7°59'39'W",4.8,,0,"['Classic Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Spa', 'Pool', 'Restaurant']"
7,"Mandarin Oriental, Marrakech",https://placehold.co/600x400.png,Hotel,"Offers luxurious villas, extensive gardens, and exceptional dining experiences.","31°36'45'N, 7°55'44'W",4.9,,0,"['Villa', 'Suite', 'Royal Villa']","['Free WiFi', 'Spa', 'Pool', 'Restaurant']"
8,Hotel Transatlantique Meknes,https://placehold.co/600x400.png,Hotel,A historic hotel with comfortable rooms and panoramic city views.,"33°53'55'N, 5°33'22'W",4.3,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Pool', 'Restaurant', 'Bar']"
8,Riad Yacout,https://placehold.co/600x400.png,Hotel,A charming riad offering traditional Moroccan hospitality and a rooftop terrace.,"33°53'52'N, 5°33'17'W",4.5,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Rooftop Terrace', 'Restaurant', 'Spa']"
8,Riad D'or Meknes,https://placehold.co/600x400.png,Hotel,A beautifully restored riad with elegant rooms and a tranquil courtyard.,"33°53'46'N, 5°33'19'W",4.4,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Courtyard', 'Restaurant', 'Bar']"
9,Hotel Riad Asfi,https://placehold.co/600x400.png,Hotel,Offers comfortable accommodations with views of the Atlantic Ocean.,"32°18'58'N, 9°14'8'W",4.1,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Restaurant', 'Bar', 'Ocean View']"
9,Farah Safi,https://placehold.co/600x400.png,Hotel,A well-known hotel providing modern amenities and a convenient location.,"32°18'55'N, 9°14'6'W",4.0,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Pool', 'Restaurant', 'Fitness Center']"
9,Riad Safi,https://placehold.co/600x400.png,Hotel,A cozy riad known for its personalized service and traditional decor.,"32°18'57'N, 9°14'9'W",4.2,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Restaurant', 'Bar', 'Terrace']"
10,Lina Ryad & Spa,https://placehold.co/600x400.png,Hotel,"A luxury riad with beautiful rooms, a spa, and stunning views of the blue city.","35°10'43'N, 5°16'50'W",4.7,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Spa', 'Pool', 'Terrace']"
10,Hotel Parador,https://placehold.co/600x400.png,Hotel,Centrally located with comfortable rooms and a swimming pool.,"35°10'36'N, 5°16'57'W",4.3,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Pool', 'Restaurant', 'Bar']"
10,Dar Echchaouen,https://placehold.co/600x400.png,Hotel,"Offers charming accommodations with a mix of traditional and modern elements, and beautiful views of the mountains.","35°10'30'N, 5°17'3'W",4.6,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Restaurant', 'Terrace', 'Garden']"
